id, label
298970,Fake
4530349,Fake
1410014,Fake
2064057,Fake
696273,Fake
3491540,Fake
744893,Fake
404121,Fake
731464,Fake
2179451,Fake
996335,Fake
436704,Fake
4411978,Fake
500765,Fake
2364791,Fake
3078064,Fake
3380230,Fake
1216232,Fake
1832734,Fake
389834,Fake
194903,Fake
4803351,Fake
146233,Fake
1137200,Fake
981828,Fake
2900187,Fake
2053880,Fake
5091064,Fake
3214617,Fake
417758,Fake
2125292,Fake
496062,Fake
3366046,Fake
3668490,Fake
1010026,Fake
2965841,Fake
4384976,Fake
4646416,Fake
1324799,Fake
3853210,Fake
358181,Fake
3855401,Fake
509563,Fake
274115,Fake
2326706,Fake
132911,Fake
1716825,Fake
15222,Fake
385865,Fake
438630,Fake
648250,Fake
3791310,Fake
364997,Fake
4868068,Fake
3314008,Fake
72904,Fake
262754,Fake
144316,Fake
2201242,Fake
51211,Fake
1871079,Fake
1205823,Fake
3116681,Fake
3919297,Fake
1694820,Fake
3613324,Fake
3486295,Fake
2560960,Fake
3054803,Fake
4982738,Fake
14246,Fake
2179013,Fake
432124,Fake
652982,Fake
2505540,Fake
3453721,Fake
299581,Fake
3466513,Fake
3893070,Fake
2990852,Fake
148242,Fake
240466,Fake
54900,Fake
114121,Fake
3508841,Fake
304562,Fake
247656,Fake
1646813,Fake
133385,Fake
1140784,Fake
753972,Fake
360887,Fake
265506,Fake
788286,Fake
439265,Fake
3198754,Fake
4599824,Fake
101385,Fake
1098906,Fake
960288,Fake
3312512,Fake
2500689,Fake
4126688,Fake
336616,Fake
513942,Fake
818487,Fake
2179392,Fake
1464514,Fake
394956,Fake
4453460,Fake
170892,Fake
214879,Fake
4330159,Fake
3817761,Fake
125111,Fake
458780,Fake
1194373,Fake
1771860,Fake
3488551,Fake
2178783,Fake
1864555,Fake
4652450,Fake
1507327,Fake
5091321,Fake
2162347,Fake
830729,Fake
2386836,Fake
2451573,Fake
5238323,Fake
699260,Fake
1253313,Fake
4802960,Fake
1201321,Fake
12130,Fake
628677,Fake
4530464,Fake
1556073,Fake
651287,Fake
164029,Fake
877031,Fake
120296,Fake
1219200,Fake
3486336,Fake
222419,Fake
2505928,Fake
643413,Fake
1574200,Fake
2222384,Fake
435455,Fake
18750,Fake
2117329,Fake
667134,Fake
4250137,Fake
2179491,Fake
1546710,Fake
2179175,Fake
409964,Fake
235742,Fake
271681,Fake
4529992,Fake
14164,Fake
623885,Fake
1747330,Fake
3969686,Fake
2137076,Fake
1464735,Fake
2698559,Fake
1757642,Fake
4868011,Fake
2569753,Fake
662179,Fake
1026688,Fake
1872049,Fake
